Region,Country,City,Name,Website / URL,Category
West Africa,Nigeria,Lagos,Agile Nigeria Meetup,https://www.meetup.com/Agile-Nigeria-Meetup/,Software Project Management
West Africa,Nigeria,Abuja,Figma Africa,https://figmaafrica.com/,Product Design
West Africa,Nigeria,Abuja,IDF Abuja,https://www.interaction-design.org/local-group/africa/nigeria/abuja,Product Design
West Africa,Nigeria,Abuja,Sketch Abuja Meetup,N/A,Product Design
West Africa,Nigeria,Abuja,Usable.ng,https://usable.ng/,Product Design
West Africa,Nigeria,Akure,Sketch & Design Nigeria,https://www.meetup.com/Uxability/,Product Design
West Africa,Nigeria,Enugu,Figma Africa,https://figmaafrica.com/,Product Design
West Africa,Nigeria,Ibadan,Ctrl-g.co,https://ctrl-g.co/,Product Design
West Africa,Nigeria,Ile-Ife,Ile-Ife Dribbble Meetup,https://dribbble.com/places/nigeria/meetups,Product Design
West Africa,Nigeria,Kaduna,Figma Africa,https://figmaafrica.com/,Product Design
West Africa,Nigeria,Kwara,Figma Africa,https://figmaafrica.com/,Product Design
West Africa,Nigeria,Lagos,Lagos Dribbble Meetup,https://dribbble.com/places/nigeria/meetups,Product Design
West Africa,Nigeria,Lagos,"Digital Transformation, Innovation & Design Nigeria",https://www.meetup.com/Digital-transformation-innovation-Design-Nigeria/,Product Design
West Africa,Nigeria,Lagos,Figma Africa,https://www.meetup.com/figma-africa/,Product Design
West Africa,Nigeria,Lagos,IDF Lagos,https://www.interaction-design.org/local-group/africa/nigeria/lagos,Product Design
West Africa,Nigeria,Lagos,Usable.ng,https://usable.ng/,Product Design
West Africa,Nigeria,Lagos,Àșà Coterie,https://www.instagram.com/asacoterie/,Product Design
West Africa,Nigeria,Lagos,The Design Institute,http://lagos.design/,Product Design
West Africa,Nigeria,Niger,Figma Africa,https://figmaafrica.com/,Product Design
West Africa,Nigeria,Osun,Figma Africa,https://figmaafrica.com/,Product Design
West Africa,Nigeria,Port-Harcourt,IDF Port-Harcourt,https://www.interaction-design.org/local-group/africa/nigeria/port-harcourt,Product Design
West Africa,Nigeria,Port-Harcourt,Port-Harcourt Dribbble Meetup,https://dribbble.com/places/nigeria/meetups,Product Design
West Africa,Nigeria,Umuahia,Figma Africa,https://figmaafrica.com/,Product Design
West Africa,Nigeria,Uyo,Figma Africa,https://figmaafrica.com/,Product Design
West Africa,Nigeria,Uyo,Uyo Dribbble Meetup,https://dribbble.com/places/nigeria/meetups,Product Design
East Africa,Rwanda,Kigali,Slack Platform Community,https://www.meetup.com/fr-FR/Slack-Platform-Community-Kigali/,General
East Africa,Rwanda,Kigali,Figma Africa,https://figmaafrica.com/,Product Design
West Africa,Sierra Leone,Monrovia,Sierra Leone GitLab Community,https://www.meetup.com/Sierra-Leone-GitLab-Community/,
Southern Africa,South Africa,Johannesburg,Think Agile Neighbourhood,https://www.meetup.com/Think-Agile-Neighbourhood/,Software Project Management
Southern Africa,South Africa,Durban,Durban Agile & Developer User Group Meetup,https://www.meetup.com/Durban-Agile-User-Group-Meetup/,Software Project Management
Southern Africa,South Africa,Johannesburg,SUGSA,https://www.meetup.com/Scrum-User-Group-Johannesburg/,Software Project Management
Southern Africa,South Africa,Cape Town,"Product Tank, Cape Town",https://www.meetup.com/ProductTank-cape-town/,Product Management
Southern Africa,South Africa,Johannesburg,"Product Tank, Johannesburg",https://www.meetup.com/ProductTank-johannesburg/,Product Management
Southern Africa,South Africa,Johannesburg,"Product School, Johannesburg",https://www.meetup.com/Product-School-Johannesburg/,Product Management
Southern Africa,South Africa,Gauteng,Gauteng Product Management Meetup,https://www.meetup.com/ProductManagersMeetupGauteng/,Product Management
Southern Africa,South Africa,Stellenbosch,Stellenbosch Product Meetup,https://www.meetup.com/Stellenbosch-Product-Meetup/,Product Management
Southern Africa,South Africa,Cape Town,"Product Hunt, Cape Town",https://www.meetup.com/Product-Hunt-Cape-Town/,Product Management
Southern Africa,South Africa,Cape Town,Cape Town Product Meetup,https://www.meetup.com/Cape-Town-Product-Managers-Meetup/,Product Management
Southern Africa,South Africa,Johannesburg,Leading Safe Course,https://www.meetup.com/Leading-Safe-Course-SAFe-Agilist-Certification/,Product Management
Southern Africa,South Africa,Cape Town,Cape Town Agile Abundance,https://www.meetup.com/Cape-Town-agile-abundance/,Software Project Management
Southern Africa,South Africa,Johannesburg,"Product Talks, Johannesburg",https://www.meetup.com/en-AU/Product-Talks-Johannesburg/,Product Management
Southern Africa,South Africa,Johannesburg,Agile Enthusiast,https://www.meetup.com/Agile-enthusiast/,Software Project Management
Southern Africa,South Africa,Cape Town,Cape Town Dribbble Community,https://www.meetup.com/Cape-Town-Dribbble-Community/,Product Design
Southern Africa,South Africa,Cape Town,Content Strategy Cape Town,https://www.meetup.com/cs-cape-town/,Product Design
Southern Africa,South Africa,Cape Town,IDF Cape Town,https://www.interaction-design.org/local-group/africa/south-africa/cape-town,Product Design
Southern Africa,South Africa,Cape Town,InDDDaba Cape Town,https://www.meetup.com/InDDDaba-Domain-Driven-Design-Cape-Town/,Product Design
Southern Africa,South Africa,Cape Town,IO Powwow,https://www.meetup.com/IO-Powwow/,Product Design
Southern Africa,South Africa,Cape Town,IxDA Cape Town,https://www.meetup.com/IxDA-Cape-Town/,Product Design
Southern Africa,South Africa,Cape Town,Ladies That UX Cape Town,https://www.meetup.com/Ladies-that-UX-Cape-Town/,Product Design
Southern Africa,South Africa,Cape Town,Service Design Africa,https://www.meetup.com/Service-Design-Africa/,Product Design
Southern Africa,South Africa,Cape Town,The Art of UX,https://www.meetup.com/The-Art-of-UX/,Product Design
Southern Africa,South Africa,Cape Town,Think Design,https://www.meetup.com/Think-Design-Cape-Town/,Product Design
Southern Africa,South Africa,Cape Town,UX Masterclass: Cape Town,https://www.meetup.com/UX-Masterclass-Cape-Town/,Product Design
Southern Africa,South Africa,Durban,IDF Durban,https://www.interaction-design.org/local-group/africa/south-africa/durban,Product Design
Southern Africa,South Africa,Johannesburg,Think Design,https://www.meetup.com/Think-Design/,Product Design
Southern Africa,South Africa,Johannesburg,Sketch Johannesburg,https://www.meetup.com/Sketch-Johannesburg/,Product Design
Southern Africa,South Africa,Johannesburg,Design Thinking Johannesburg Meetup,https://www.meetup.com/Design-Thinking-Johannesburg-Meetup/,Product Design
Southern Africa,South Africa,Johannesburg,IDF Johannesburg,https://www.meetup.com/IxDFAFrica/,Product Design
Southern Africa,South Africa,Johannesburg,Ladies That UX Johannesburg,https://www.meetup.com/Ladies-that-UX-Johannesburg/,Product Design
Southern Africa,South Africa,Johannesburg,Pixel Up!,https://www.meetup.com/pixelup/,Product Design
Southern Africa,South Africa,Johannesburg,Service Design Network South Africa,https://www.meetup.com/Service-Design-Network-South-Africa/,Product Design
Southern Africa,South Africa,Johannesburg,She Can Do,https://www.meetup.com/She-Can-Do/,Product Design
Southern Africa,South Africa,Johannesburg,UX Joburg,https://www.meetup.com/UX-Joburg/,Product Design
Southern Africa,South Africa,Pretoria,IDF Pretoria,https://www.interaction-design.org/local-group/africa/south-africa/pretoria,Product Design
Southern Africa,South Africa,Pretoria,Rabiteer Sessions,https://www.meetup.com/Rabbiteer/,Product Design
North Africa,Tunisia,Sfax,"Ministry of Testing, Sfax",https://www.meetup.com/en-AU/ministry-of-testing-sfax/,Software Project Management
North Africa,Tunisia,Tunis,Tunisia Women in Agile,https://www.meetup.com/Women-agile-Tunisia/,Software Project Management
North Africa,Tunisia,Tunis,Tunis Scrum Meetup,https://www.meetup.com/Tunis-Scrum-Meetup/,Software Project Management
North Africa,Tunisia,Gabes,IDF Gabes,https://www.interaction-design.org/local-group/africa/tunisia/gabes,Product Design
East Africa,Uganda,Kampala,"Product Tank, Kampala",https://www.meetup.com/ProductTank-Kampala/,Product Management
East Africa,Uganda,Kampala,Agile Uganda,https://www.twitter.com/agileuganda,Software Project Management
